date,area,humidity
8/9/18,Jacksonville,66.088
9/9/18,Jacksonville,65.986
10/9/18,Jacksonville,65.67
11/9/18,Jacksonville,64.9
12/9/18,Jacksonville,69.052
13/9/18,Jacksonville,66.569
14/9/18,Jacksonville,66.605
15/9/18,Jacksonville,71.807
16/9/18,Jacksonville,67.77
17/9/18,Jacksonville,64.709
18/9/18,Jacksonville,66.437
19/9/18,Jacksonville,67.943
20/9/18,Jacksonville,68.79
21/9/18,Jacksonville,68.838
22/9/18,Jacksonville,65.534
23/9/18,Jacksonville,66.163
24/9/18,Jacksonville,67.396
25/9/18,Jacksonville,70.423
26/9/18,Jacksonville,72.483
27/9/18,Jacksonville,67.367
28/9/18,Jacksonville,67.892
29/9/18,Jacksonville,70.071
30/9/18,Jacksonville,71.266
1/10/18,Jacksonville,68.862
2/10/18,Jacksonville,71.701
3/10/18,Jacksonville,71.587
4/10/18,Jacksonville,67.155
5/10/18,Jacksonville,66.672
6/10/18,Jacksonville,68.758
7/10/18,Jacksonville,68.524
8/10/18,Jacksonville,69.252
9/10/18,Jacksonville,67.122
10/10/18,Jacksonville,68.292
11/10/18,Jacksonville,69.832
12/10/18,Jacksonville,67.917
13/10/18,Jacksonville,72.819
14/10/18,Jacksonville,67.542
15/10/18,Jacksonville,73.126
16/10/18,Jacksonville,69.378
17/10/18,Jacksonville,72.335
18/10/18,Jacksonville,68.214
19/10/18,Jacksonville,68.85
20/10/18,Jacksonville,70.238
21/10/18,Jacksonville,69.13
22/10/18,Jacksonville,66.314
23/10/18,Jacksonville,71.47
24/10/18,Jacksonville,67.496
25/10/18,Jacksonville,72.656
26/10/18,Jacksonville,71.114
27/10/18,Jacksonville,70.355
28/10/18,Jacksonville,72.308
29/10/18,Jacksonville,71.199
30/10/18,Jacksonville,70.699
31/10/18,Jacksonville,68.578
1/11/18,Jacksonville,69.942
2/11/18,Jacksonville,69.32
3/11/18,Jacksonville,70.019
4/11/18,Jacksonville,67.612
5/11/18,Jacksonville,71.819
6/11/18,Jacksonville,67.673
7/11/18,Jacksonville,70.513
8/11/18,Jacksonville,73.121
9/11/18,Jacksonville,72.957
10/11/18,Jacksonville,71.993
11/11/18,Jacksonville,72.917
12/11/18,Jacksonville,75.913
13/11/18,Jacksonville,72.901
14/11/18,Jacksonville,72.862
15/11/18,Jacksonville,75.322
16/11/18,Jacksonville,73.609
17/11/18,Jacksonville,68.886
18/11/18,Jacksonville,72.25
19/11/18,Jacksonville,76.437
20/11/18,Jacksonville,73.819
21/11/18,Jacksonville,72.441
22/11/18,Jacksonville,72.899
23/11/18,Jacksonville,72.498
24/11/18,Jacksonville,71.75
25/11/18,Jacksonville,72.484
26/11/18,Jacksonville,71.189
27/11/18,Jacksonville,73.251
28/11/18,Jacksonville,69.916
29/11/18,Jacksonville,71.128
30/11/18,Jacksonville,75.06
1/12/18,Jacksonville,72.584
2/12/18,Jacksonville,71.812
3/12/18,Jacksonville,73.683
4/12/18,Jacksonville,76.504
5/12/18,Jacksonville,70.139
6/12/18,Jacksonville,72.615
7/12/18,Jacksonville,72.581
8/12/18,Jacksonville,77.731
9/12/18,Jacksonville,71.983
10/12/18,Jacksonville,69.775
11/12/18,Jacksonville,74.557
12/12/18,Jacksonville,70.247
13/12/18,Jacksonville,72.326
14/12/18,Jacksonville,70.803
15/12/18,Jacksonville,73.972
16/12/18,Jacksonville,70.555
17/12/18,Jacksonville,72.224
18/12/18,Jacksonville,71.02
19/12/18,Jacksonville,72.093
20/12/18,Jacksonville,70.625
21/12/18,Jacksonville,76.776
22/12/18,Jacksonville,69.539
23/12/18,Jacksonville,74.425
24/12/18,Jacksonville,72.823
25/12/18,Jacksonville,70.888
26/12/18,Jacksonville,72.113
27/12/18,Jacksonville,71.305
28/12/18,Jacksonville,71.468
29/12/18,Jacksonville,76.239
30/12/18,Jacksonville,72.586
31/12/18,Jacksonville,76.7
1/1/19,Jacksonville,73.878
2/1/19,Jacksonville,73.594
3/1/19,Jacksonville,71.25
4/1/19,Jacksonville,72.177
5/1/19,Jacksonville,71.842
6/1/19,Jacksonville,74.132
7/1/19,Jacksonville,71.634
8/1/19,Jacksonville,77.361
9/1/19,Jacksonville,74.652
10/1/19,Jacksonville,73.877
11/1/19,Jacksonville,76.112
12/1/19,Jacksonville,68.458
13/1/19,Jacksonville,72.805
14/1/19,Jacksonville,76.284
15/1/19,Jacksonville,72.38
16/1/19,Jacksonville,72.945
17/1/19,Jacksonville,67.908
18/1/19,Jacksonville,72.409
19/1/19,Jacksonville,73.636
20/1/19,Jacksonville,67.859
21/1/19,Jacksonville,73.081
22/1/19,Jacksonville,75.314
23/1/19,Jacksonville,73.204
24/1/19,Jacksonville,72.944
25/1/19,Jacksonville,76.432
26/1/19,Jacksonville,71.324
27/1/19,Jacksonville,75.085
28/1/19,Jacksonville,74.124
29/1/19,Jacksonville,69.633
30/1/19,Jacksonville,68.756
31/1/19,Jacksonville,72.801
1/2/19,Jacksonville,67.65
2/2/19,Jacksonville,69.91
3/2/19,Jacksonville,74.005
4/2/19,Jacksonville,70.838
5/2/19,Jacksonville,73.426
6/2/19,Jacksonville,72.802
7/2/19,Jacksonville,75.08
8/2/19,Jacksonville,73.469
9/2/19,Jacksonville,71.299
10/2/19,Jacksonville,72.308
11/2/19,Jacksonville,69.309
12/2/19,Jacksonville,73.882
13/2/19,Jacksonville,70.374
14/2/19,Jacksonville,69.289
15/2/19,Jacksonville,68.524
16/2/19,Jacksonville,75.801
17/2/19,Jacksonville,72.512
18/2/19,Jacksonville,71.47
19/2/19,Jacksonville,74.189
20/2/19,Jacksonville,75.535
21/2/19,Jacksonville,71.858
22/2/19,Jacksonville,70.392
23/2/19,Jacksonville,73.198
24/2/19,Jacksonville,74.871
25/2/19,Jacksonville,75.509
26/2/19,Jacksonville,73.712
27/2/19,Jacksonville,69.611
28/2/19,Jacksonville,73.019
1/3/19,Jacksonville,75.882
2/3/19,Jacksonville,73.314
3/3/19,Jacksonville,70.681
4/3/19,Jacksonville,70.811
5/3/19,Jacksonville,72.731
6/3/19,Jacksonville,74.019
7/3/19,Jacksonville,68.366
8/3/19,Jacksonville,71.225
9/3/19,Jacksonville,74.048
10/3/19,Jacksonville,67.403
11/3/19,Jacksonville,71.948
12/3/19,Jacksonville,72.09
13/3/19,Jacksonville,71.668
14/3/19,Jacksonville,69.871
15/3/19,Jacksonville,72.264
16/3/19,Jacksonville,71.463
17/3/19,Jacksonville,73.863
18/3/19,Jacksonville,70.506
19/3/19,Jacksonville,70.509
20/3/19,Jacksonville,71.235
21/3/19,Jacksonville,73.75
22/3/19,Jacksonville,71.393
23/3/19,Jacksonville,71.848
24/3/19,Jacksonville,68.696
25/3/19,Jacksonville,68.048
26/3/19,Jacksonville,70.341
27/3/19,Jacksonville,69.393
28/3/19,Jacksonville,71.301
29/3/19,Jacksonville,72.924
30/3/19,Jacksonville,72.898
31/3/19,Jacksonville,70.23
1/4/19,Jacksonville,71.685
2/4/19,Jacksonville,72.236
3/4/19,Jacksonville,68.986
4/4/19,Jacksonville,73.573
5/4/19,Jacksonville,73.382
6/4/19,Jacksonville,69.399
7/4/19,Jacksonville,70.075
8/4/19,Jacksonville,72.914
9/4/19,Jacksonville,74.829
10/4/19,Jacksonville,70.587
11/4/19,Jacksonville,71.95
12/4/19,Jacksonville,73.141
13/4/19,Jacksonville,67.582
14/4/19,Jacksonville,70.708
15/4/19,Jacksonville,73.234
16/4/19,Jacksonville,68.204
17/4/19,Jacksonville,69.589
18/4/19,Jacksonville,67.833
19/4/19,Jacksonville,72.039
20/4/19,Jacksonville,74.767
21/4/19,Jacksonville,66.989
22/4/19,Jacksonville,72.329
23/4/19,Jacksonville,68.286
24/4/19,Jacksonville,72.698
25/4/19,Jacksonville,71.097
26/4/19,Jacksonville,71.337
27/4/19,Jacksonville,66.385
28/4/19,Jacksonville,70.368
29/4/19,Jacksonville,72.287
30/4/19,Jacksonville,72.876
1/5/19,Jacksonville,70.968
2/5/19,Jacksonville,69.044
3/5/19,Jacksonville,72.459
4/5/19,Jacksonville,73.731
5/5/19,Jacksonville,69.185
6/5/19,Jacksonville,72.344
7/5/19,Jacksonville,74.07
8/5/19,Jacksonville,68.072
9/5/19,Jacksonville,67.402
10/5/19,Jacksonville,68.353
11/5/19,Jacksonville,67.263
12/5/19,Jacksonville,67.243
13/5/19,Jacksonville,65.992
14/5/19,Jacksonville,67.265
15/5/19,Jacksonville,69.084
16/5/19,Jacksonville,70.493
17/5/19,Jacksonville,70.061
18/5/19,Jacksonville,70.914
19/5/19,Jacksonville,69.928
20/5/19,Jacksonville,69.581
21/5/19,Jacksonville,68.717
22/5/19,Jacksonville,65.774
23/5/19,Jacksonville,68.309
24/5/19,Jacksonville,69.527
25/5/19,Jacksonville,67.901
26/5/19,Jacksonville,67.123
27/5/19,Jacksonville,65.379
28/5/19,Jacksonville,68.067
29/5/19,Jacksonville,70.699
30/5/19,Jacksonville,65.954
31/5/19,Jacksonville,70.78
1/6/19,Jacksonville,71.072
2/6/19,Jacksonville,69.878
3/6/19,Jacksonville,70.504
4/6/19,Jacksonville,66.156
5/6/19,Jacksonville,67.642
6/6/19,Jacksonville,66.277
7/6/19,Jacksonville,66.956
8/6/19,Jacksonville,72.228
9/6/19,Jacksonville,69.29
10/6/19,Jacksonville,68.095
11/6/19,Jacksonville,65.519
12/6/19,Jacksonville,66.126
13/6/19,Jacksonville,68.489
14/6/19,Jacksonville,68.452
15/6/19,Jacksonville,69.575
16/6/19,Jacksonville,66.209
17/6/19,Jacksonville,68.246
18/6/19,Jacksonville,71.805
19/6/19,Jacksonville,70.896
20/6/19,Jacksonville,66.145
21/6/19,Jacksonville,70.307
22/6/19,Jacksonville,67.119
23/6/19,Jacksonville,65.304
24/6/19,Jacksonville,65.815
25/6/19,Jacksonville,69.089
26/6/19,Jacksonville,68.005
27/6/19,Jacksonville,69.809
28/6/19,Jacksonville,68.314
29/6/19,Jacksonville,65.339
30/6/19,Jacksonville,72.103
1/7/18,Cambridge,68.713
2/7/18,Cambridge,68.354
3/7/18,Cambridge,66.71
4/7/18,Cambridge,66.953
5/7/18,Cambridge,70.195
6/7/18,Cambridge,65.465
7/7/18,Cambridge,65.468
8/7/18,Cambridge,68.698
9/7/18,Cambridge,62.349
10/7/18,Cambridge,67.141
11/7/18,Cambridge,71.618
12/7/18,Cambridge,70.535
13/7/18,Cambridge,65.102
14/7/18,Cambridge,66.638
15/7/18,Cambridge,62.965
16/7/18,Cambridge,68.83
17/7/18,Cambridge,68.908
18/7/18,Cambridge,67.37
19/7/18,Cambridge,68.835
20/7/18,Cambridge,70.205
21/7/18,Cambridge,68.408
22/7/18,Cambridge,63.638
23/7/18,Cambridge,65.077
24/7/18,Cambridge,71.08
25/7/18,Cambridge,62.956
26/7/18,Cambridge,70.597
27/7/18,Cambridge,71.71
28/7/18,Cambridge,67.514
29/7/18,Cambridge,65.829
30/7/18,Cambridge,71.5
31/7/18,Cambridge,67.917
1/8/18,Cambridge,65.235
2/8/18,Cambridge,69.708
3/8/18,Cambridge,66.867
4/8/18,Cambridge,66.756
5/8/18,Cambridge,69.816
6/8/18,Cambridge,67.748
7/8/18,Cambridge,68.551
8/8/18,Cambridge,70.138
9/8/18,Cambridge,71.511
10/8/18,Cambridge,68.46
11/8/18,Cambridge,69.839
12/8/18,Cambridge,71.167
13/8/18,Cambridge,70.13
14/8/18,Cambridge,69.523
15/8/18,Cambridge,71.441
16/8/18,Cambridge,73.991
17/8/18,Cambridge,68.315
18/8/18,Cambridge,73.474
19/8/18,Cambridge,72.129
20/8/18,Cambridge,70.97
21/8/18,Cambridge,69.766
22/8/18,Cambridge,71.292
23/8/18,Cambridge,66.988
24/8/18,Cambridge,75.47
25/8/18,Cambridge,70.691
26/8/18,Cambridge,71.963
27/8/18,Cambridge,68.956
28/8/18,Cambridge,68.606
29/8/18,Cambridge,71.02
30/8/18,Cambridge,72.469
31/8/18,Cambridge,68.944
1/9/18,Cambridge,67.296
2/9/18,Cambridge,67.347
3/9/18,Cambridge,71.964
4/9/18,Cambridge,69.827
5/9/18,Cambridge,70.362
6/9/18,Cambridge,71.651
7/9/18,Cambridge,70.678
8/9/18,Cambridge,69.819
9/9/18,Cambridge,70.734
10/9/18,Cambridge,71.546
11/9/18,Cambridge,69.234
12/9/18,Cambridge,72.085
13/9/18,Cambridge,70.037
14/9/18,Cambridge,66.595
15/9/18,Cambridge,73.127
16/9/18,Cambridge,66.473
17/9/18,Cambridge,66.936
18/9/18,Cambridge,65.453
19/9/18,Cambridge,70.685
20/9/18,Cambridge,71.539
21/9/18,Cambridge,69.216
22/9/18,Cambridge,71.319
23/9/18,Cambridge,68.678
24/9/18,Cambridge,70.402
25/9/18,Cambridge,70.739
26/9/18,Cambridge,68.919
27/9/18,Cambridge,69.326
28/9/18,Cambridge,71.796
29/9/18,Cambridge,67.678
30/9/18,Cambridge,67
1/10/18,Cambridge,67.733
2/10/18,Cambridge,69.494
3/10/18,Cambridge,66.564
4/10/18,Cambridge,66.432
5/10/18,Cambridge,72.027
6/10/18,Cambridge,69.034
7/10/18,Cambridge,70.24
8/10/18,Cambridge,67.292
9/10/18,Cambridge,68.077
10/10/18,Cambridge,70.931
11/10/18,Cambridge,69.111
12/10/18,Cambridge,75.232
13/10/18,Cambridge,69.367
14/10/18,Cambridge,66.059
15/10/18,Cambridge,68.459
16/10/18,Cambridge,69.49
17/10/18,Cambridge,69.83
18/10/18,Cambridge,69.065
19/10/18,Cambridge,72.563
20/10/18,Cambridge,69.493
21/10/18,Cambridge,71.71
22/10/18,Cambridge,74.168
23/10/18,Cambridge,67.951
24/10/18,Cambridge,68.629
25/10/18,Cambridge,72.069
26/10/18,Cambridge,72.77
27/10/18,Cambridge,67.915
28/10/18,Cambridge,72.646
29/10/18,Cambridge,69.595
30/10/18,Cambridge,71.757
31/10/18,Cambridge,67.657
1/11/18,Cambridge,72.47
2/11/18,Cambridge,70.325
3/11/18,Cambridge,71.253
4/11/18,Cambridge,70.163
5/11/18,Cambridge,71.977
6/11/18,Cambridge,72.06
7/11/18,Cambridge,69.719
8/11/18,Cambridge,66.235
9/11/18,Cambridge,69.558
10/11/18,Cambridge,73.535
11/11/18,Cambridge,73.369
12/11/18,Cambridge,73.013
13/11/18,Cambridge,69.653
14/11/18,Cambridge,72.339
15/11/18,Cambridge,69.023
16/11/18,Cambridge,73.477
17/11/18,Cambridge,68.776
18/11/18,Cambridge,66.643
19/11/18,Cambridge,69.915
20/11/18,Cambridge,71.301
21/11/18,Cambridge,68.562
22/11/18,Cambridge,65.914
23/11/18,Cambridge,71.275
24/11/18,Cambridge,70.043
25/11/18,Cambridge,70.474
26/11/18,Cambridge,71.038
27/11/18,Cambridge,68.704
28/11/18,Cambridge,73.441
29/11/18,Cambridge,72.849
30/11/18,Cambridge,74.173
1/12/18,Cambridge,71.792
2/12/18,Cambridge,69.599
3/12/18,Cambridge,73.581
4/12/18,Cambridge,72.334
5/12/18,Cambridge,70.036
6/12/18,Cambridge,70.988
7/12/18,Cambridge,67.903
8/12/18,Cambridge,71.021
9/12/18,Cambridge,68.477
10/12/18,Cambridge,71.941
11/12/18,Cambridge,71.889
12/12/18,Cambridge,72.611
13/12/18,Cambridge,70.886
14/12/18,Cambridge,69.757
15/12/18,Cambridge,69.869
16/12/18,Cambridge,71.073
17/12/18,Cambridge,74.938
18/12/18,Cambridge,68.873
19/12/18,Cambridge,71.12
20/12/18,Cambridge,69.553
21/12/18,Cambridge,68.866
22/12/18,Cambridge,68.627
23/12/18,Cambridge,69.931
24/12/18,Cambridge,67.031
25/12/18,Cambridge,72.12
26/12/18,Cambridge,69.246
27/12/18,Cambridge,71.35
28/12/18,Cambridge,70.364
29/12/18,Cambridge,72.811
30/12/18,Cambridge,69.791
31/12/18,Cambridge,72.65
1/1/19,Cambridge,67.557
2/1/19,Cambridge,70.59
3/1/19,Cambridge,69.994
4/1/19,Cambridge,66.978
5/1/19,Cambridge,68.027
6/1/19,Cambridge,69.925
7/1/19,Cambridge,68.104
8/1/19,Cambridge,69.161
9/1/19,Cambridge,73.235
10/1/19,Cambridge,69.89
11/1/19,Cambridge,66.637
12/1/19,Cambridge,68.214
13/1/19,Cambridge,68.617
14/1/19,Cambridge,68.812
15/1/19,Cambridge,72.951
16/1/19,Cambridge,69.436
17/1/19,Cambridge,74.371
18/1/19,Cambridge,66.579
19/1/19,Cambridge,69.399
20/1/19,Cambridge,74.146
21/1/19,Cambridge,68.715
22/1/19,Cambridge,71.391
23/1/19,Cambridge,72.815
24/1/19,Cambridge,71.632
25/1/19,Cambridge,70.811
26/1/19,Cambridge,71.649
27/1/19,Cambridge,68.885
28/1/19,Cambridge,71.454
29/1/19,Cambridge,69.314
30/1/19,Cambridge,70.727
31/1/19,Cambridge,66.921
1/2/19,Cambridge,66.648
2/2/19,Cambridge,72.284
3/2/19,Cambridge,72.652
4/2/19,Cambridge,71.656
5/2/19,Cambridge,71.394
6/2/19,Cambridge,66.887
7/2/19,Cambridge,66.491
8/2/19,Cambridge,68.11
9/2/19,Cambridge,72.998
10/2/19,Cambridge,68.411
11/2/19,Cambridge,72.553
12/2/19,Cambridge,71.321
13/2/19,Cambridge,70.437
14/2/19,Cambridge,68.343
15/2/19,Cambridge,72.952
16/2/19,Cambridge,72.694
17/2/19,Cambridge,70.858
18/2/19,Cambridge,68.044
19/2/19,Cambridge,70.8
20/2/19,Cambridge,70.213
21/2/19,Cambridge,69.295
22/2/19,Cambridge,70.546
23/2/19,Cambridge,68.15
24/2/19,Cambridge,69.881
25/2/19,Cambridge,70.215
26/2/19,Cambridge,65.381
27/2/19,Cambridge,67.904
28/2/19,Cambridge,69.407
1/3/19,Cambridge,66.601
2/3/19,Cambridge,69.08
3/3/19,Cambridge,72.307
4/3/19,Cambridge,68.683
5/3/19,Cambridge,70.253
6/3/19,Cambridge,68.894
7/3/19,Cambridge,67.459
8/3/19,Cambridge,70.328
9/3/19,Cambridge,72.796
10/3/19,Cambridge,68.799
11/3/19,Cambridge,67.719
12/3/19,Cambridge,69.625
13/3/19,Cambridge,70.365
14/3/19,Cambridge,73.751
15/3/19,Cambridge,66.947
16/3/19,Cambridge,70.883
17/3/19,Cambridge,69.626
18/3/19,Cambridge,72.894
19/3/19,Cambridge,69.441
20/3/19,Cambridge,68.458
21/3/19,Cambridge,66.937
22/3/19,Cambridge,70.953
23/3/19,Cambridge,72.328
24/3/19,Cambridge,69.864
25/3/19,Cambridge,67.332
26/3/19,Cambridge,70.541
27/3/19,Cambridge,66.165
28/3/19,Cambridge,71.856
29/3/19,Cambridge,69.496
30/3/19,Cambridge,68.983
31/3/19,Cambridge,69.959
1/4/19,Cambridge,68.835
2/4/19,Cambridge,72.744
3/4/19,Cambridge,72.185
4/4/19,Cambridge,68.432
5/4/19,Cambridge,69.069
6/4/19,Cambridge,69.542
7/4/19,Cambridge,67.845
8/4/19,Cambridge,68.942
9/4/19,Cambridge,73.681
10/4/19,Cambridge,71.346
11/4/19,Cambridge,63.463
12/4/19,Cambridge,68.637
13/4/19,Cambridge,71.914
14/4/19,Cambridge,69.82
15/4/19,Cambridge,69.776
16/4/19,Cambridge,67.23
17/4/19,Cambridge,72.059
18/4/19,Cambridge,71.255
19/4/19,Cambridge,69.669
20/4/19,Cambridge,67.451
21/4/19,Cambridge,69.528
22/4/19,Cambridge,68.213
23/4/19,Cambridge,70.225
24/4/19,Cambridge,69.422
25/4/19,Cambridge,66.209
26/4/19,Cambridge,64.42
27/4/19,Cambridge,65.753
28/4/19,Cambridge,72.066
29/4/19,Cambridge,64.92
30/4/19,Cambridge,67.794
1/5/19,Cambridge,69.052
2/5/19,Cambridge,66.349
3/5/19,Cambridge,69.451
4/5/19,Cambridge,68.902
5/5/19,Cambridge,68.754
6/5/19,Cambridge,70.39
7/5/19,Cambridge,68.673
8/5/19,Cambridge,70.905
9/5/19,Cambridge,63.169
10/5/19,Cambridge,70.863
11/5/19,Cambridge,68.442
12/5/19,Cambridge,71.604
13/5/19,Cambridge,66.556
14/5/19,Cambridge,70.002
15/5/19,Cambridge,67.939
16/5/19,Cambridge,67.19
17/5/19,Cambridge,70.243
18/5/19,Cambridge,68.597
19/5/19,Cambridge,69.193
20/5/19,Cambridge,69.928
21/5/19,Cambridge,65.929
22/5/19,Cambridge,66.686
23/5/19,Cambridge,67.709
24/5/19,Cambridge,67.994
25/5/19,Cambridge,68.693
26/5/19,Cambridge,66.402
27/5/19,Cambridge,62.599
28/5/19,Cambridge,66.954
29/5/19,Cambridge,66.828
30/5/19,Cambridge,67.383
31/5/19,Cambridge,63.313
1/6/19,Cambridge,68.513
2/6/19,Cambridge,63.519
3/6/19,Cambridge,70.442
4/6/19,Cambridge,64.346
5/6/19,Cambridge,67.918
6/6/19,Cambridge,69.339
7/6/19,Cambridge,67.863
8/6/19,Cambridge,64.225
9/6/19,Cambridge,63.619
10/6/19,Cambridge,65.626
11/6/19,Cambridge,65.43
12/6/19,Cambridge,65.034
13/6/19,Cambridge,68.505
14/6/19,Cambridge,63.654
15/6/19,Cambridge,67.739
16/6/19,Cambridge,71.645
17/6/19,Cambridge,68.775
18/6/19,Cambridge,70.127
19/6/19,Cambridge,62.396
20/6/19,Cambridge,69.606
21/6/19,Cambridge,65.881
22/6/19,Cambridge,67.173
23/6/19,Cambridge,63.326
24/6/19,Cambridge,64.942
25/6/19,Cambridge,65.788
26/6/19,Cambridge,66.295
27/6/19,Cambridge,67.887
28/6/19,Cambridge,63.212
29/6/19,Cambridge,66.275
30/6/19,Cambridge,63.361
